EventId : 3, Level : Informational, Message : Invoking method IHallService.CreateHall, Payload : [serviceName : IHallService] [methodName : CreateHall] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:39:52.9081772Z, ProcessId : 4872, ThreadId : 7136

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:25.1940512Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:30.9030817Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:38.8821238Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:38.9562745Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:42.0099512Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:42.0139584Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateAdmin, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.0715208Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IAccountService.CreateAdmin finished, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1215200Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1225192Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1655341Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1655341Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1675355Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1685351Z, ProcessId : 1392, ThreadId : 5180

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:40:57.1705356Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IHallService.CreateHall, Payload : [serviceName : IHallService] [methodName : CreateHall] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:40:57.1715348Z, ProcessId : 1392, ThreadId : 5180

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:26.8348907Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:29.9320643Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:29.9330631Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:29.9420628Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:29.9420628Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:29.9460646Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateAdmin, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:34.1934239Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IAccountService.CreateAdmin finished, Payload : [serviceName : IAccountService] [methodName : CreateAdmin] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:34.1994365Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:36.8679962Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:36.9330110Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:37.7084673Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:37.7109674Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:38.3880621Z, ProcessId : 4528, ThreadId : 6260

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:41:38.3930537Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IHallService.CreateHall, Payload : [serviceName : IHallService] [methodName : CreateHall] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:41:39.2990683Z, ProcessId : 4528, ThreadId : 6260

EventId : 3, Level : Informational, Message : Invoking method IAccountService.CreateClient, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-11-17T15:42:00.1856049Z, ProcessId : 8820, ThreadId : 7192

EventId : 4, Level : Informational, Message : Method IAccountService.CreateClient finished, Payload : [serviceName : IAccountService] [methodName : CreateClient] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-11-17T15:42:03.6088223Z, ProcessId : 8820, ThreadId : 7192

